1	2	0.5833
1	4	0.45
1	5	0.2
1	6	0.45
1	7	0.3333
1	12	0.2
1	13	0.2
1	15	0.2
1	16	0.2
1	17	0.65
1	21	0.2
1	26	0.3333
2	4	0.25
2	6	0.25
2	7	0.3333
2	17	0.25
2	26	0.3333
3	11	0.3333
3	14	0.3333
3	21	0.3333
4	5	0.2
4	6	0.45
4	13	0.2
4	17	0.45
5	6	0.2
5	13	0.2
5	17	0.2
5	18	0.1429
5	20	0.1429
5	22	0.1429
5	23	0.1429
5	24	0.1429
5	27	0.1429
5	28	0.1429
6	8	0.25
6	9	0.3333
6	10	0.3333
6	13	0.2
6	17	0.45
6	19	0.25
6	20	0.25
6	25	0.3333
6	29	0.25
7	26	0.3333
8	19	0.25
8	20	0.25
8	29	0.25
9	10	0.3333
9	25	0.3333
10	25	0.3333
11	14	0.3333
11	21	0.3333
12	15	0.2
12	16	0.2
12	17	0.2
12	21	0.2
13	17	0.2
14	21	0.3333
15	16	0.2
15	17	0.2
15	21	0.2
16	17	0.2
16	21	0.2
17	21	0.2
18	20	0.1429
18	22	0.1429
18	23	0.1429
18	24	0.1429
18	27	0.1429
18	28	0.1429
19	20	0.25
19	29	0.25
20	22	0.1429
20	23	0.1429
20	24	0.1429
20	27	0.1429
20	28	0.1429
20	29	0.25
22	23	0.1429
22	24	0.1429
22	27	0.1429
22	28	0.1429
23	24	0.1429
23	27	0.1429
23	28	0.1429
24	27	0.1429
24	28	0.1429
27	28	0.1429
